,Player,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%
2264,Alexis Sanchez,9.8,3,0,0,14,18,8,24,9,10,0,0,0,39,7,22,24.1
2265,Carlos Sanchez,2.7,0,0,0,3,1,0,0,1,3,0,0,0,13,1,0,100.0
2266,Davinson Sanchez,21.6,2,0,0,20,10,0,0,30,20,0,1,0,115,67,49,57.8
2267,Javi Sanchez,0.5,1,0,0,2,0,0,0,0,0,0,0,0,0,3,1,75.0
2268,Victor Sanchez,14.1,9,0,0,48,36,2,17,25,30,0,0,0,69,21,15,58.3
2269,Jadon Sancho,27.3,2,0,0,5,37,4,110,14,10,2,0,0,133,1,19,5.0
2270,Sandro,6.6,5,0,0,23,11,0,0,11,10,0,1,1,43,15,10,60.0
2271,Sandro,7.9,3,0,0,21,11,2,0,20,17,0,1,0,53,22,17,56.4
2272,Alex Sandro,26.5,7,0,0,49,49,2,116,38,45,0,1,0,163,55,38,59.1
2273,Leroy Sane,20.7,1,0,0,9,14,18,98,8,15,1,0,0,91,10,23,30.3
2274,Salif Sane,29.0,4,0,0,27,33,1,6,68,37,0,0,0,157,118,35,77.1
