,Player,Squad,90s,Touches - Touches,Touches - Def Pen,Touches - Def 3rd,Touches - Mid 3rd,Touches - Att 3rd,Touches - Att Pen,Touches - Live,Take-Ons - Att,Take-Ons - Succ,Take-Ons - Succ%,Take-Ons - Tkld,Take-Ons - Tkld%,Carries - Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - 1/3,Carries - CPA,Carries - Mis,Carries - Dis,Receiving - Rec,Receiving - PrgR
78,Dele Alli,Tottenham,6.9,444,7,64,241,146,23,444,25,11,44.0,14,56.0,276,1588,641,15,18,5,13,16,303,30
79,Miguel Almiron,Newcastle Utd,27.0,1179,33,230,557,421,40,1179,73,39,53.4,34,46.6,773,5516,2516,70,48,14,48,34,792,109
80,Marcos Alonso,Chelsea,10.7,729,32,199,300,238,38,729,17,9,52.9,8,47.1,362,1815,1095,24,18,4,13,9,450,74
81,Sergio Alvarez,Eibar,17.4,869,35,187,544,143,19,869,10,8,80.0,2,20.0,392,1754,624,9,11,1,21,12,459,15
82,Yeray Alvarez,Athletic Club,21.6,1294,119,607,649,48,15,1294,12,11,91.7,1,8.3,681,4512,2621,19,11,0,8,2,769,2
83,Bruno Alves,Parma,18.1,1096,173,611,446,41,17,1096,2,1,50.0,1,50.0,636,2915,1445,0,4,1,1,1,721,6
84,Steven Alzate,Brighton,10.0,536,17,105,308,128,12,536,16,8,50.0,8,50.0,323,1638,807,16,8,1,13,9,393,16
85,Ibrahim Amadou,Angers,16.7,837,34,208,549,87,12,837,15,10,66.7,5,33.3,477,1929,898,14,9,3,14,17,534,14
86,Romain Amalfitano,Dijon,1.3,68,3,12,36,21,0,68,1,0,0.0,1,100.0,51,284,159,3,2,0,1,2,48,8
87,Emmanuel Amankwaa Akurugu,Getafe,0.5,18,0,4,11,3,0,18,0,0,0.0,0,0.0,12,113,64,2,0,0,1,0,10,1
88,Daniel Amartey,Leicester City,8.0,572,61,286,256,33,6,572,3,1,33.3,2,66.7,301,1291,682,4,4,0,5,3,344,0
89,Jordan Amavi,Marseille,9.0,569,36,205,260,112,8,569,20,12,60.0,8,40.0,275,1532,676,17,19,2,13,9,300,33
90,Thierry Ambrose,Metz,8.4,336,5,13,164,164,35,336,31,18,58.1,13,41.9,223,1444,580,26,17,9,33,26,277,77
91,Wisdom Amey,Bologna,0.0,7,0,0,5,2,0,7,0,0,0.0,0,0.0,2,19,15,0,0,0,0,0,2,0
92,Nadiem Amiri,Leverkusen,21.0,1351,19,158,764,443,30,1351,39,21,53.8,18,46.2,777,4342,2040,45,34,8,50,23,1011,82
93,Ethan Ampadu,Sheffield Utd,23.2,1374,138,516,670,202,6,1374,15,13,86.7,2,13.3,678,4063,2384,25,28,0,16,5,765,23
